time (seconds),encoderLeft (meters),encoderRight (meters)
1006.897,578.5018921,546.4332275
1006.999,578.5018921,546.4844971
1007.099,578.5018921,546.5357666
1007.199,578.5018921,546.5870361
1007.299,578.5018921,546.6383057
1007.4,578.5018921,546.6895752
1007.503,578.5018921,546.7408447
1007.595,578.5018921,546.7921143
1007.701,578.5018921,546.8433838
1007.802,578.5018921,546.8946533
1007.901,578.5018921,546.9459229
1008,578.5018921,546.9971924
1008.097,578.5018921,547.0484619
1008.2,578.5018921,547.0997314
1008.301,578.5018921,547.151001
1008.4,578.5018921,547.2022705
1008.499,578.5018921,547.25354
1008.606,578.5018921,547.3048096
1008.696,578.5018921,547.3560791
1008.799,578.5018921,547.4073486
1008.9,578.5018921,547.4586182
1009.013,578.5018921,547.5098877
1009.101,578.5018921,547.5611572
1009.199,578.5018921,547.6124878
1009.299,578.5018921,547.6637573
1009.401,578.5018921,547.7150269
1009.5,578.5018921,547.7662964
1009.6,578.5018921,547.8175659
1009.699,578.5018921,547.8688354
1009.8,578.5018921,547.920105
1009.9,578.5018921,547.9713745
1009.999,578.5018921,548.022644
1010.108,578.5018921,548.0739136
1010.196,578.5018921,548.1251831
1010.297,578.5018921,548.1764526
1010.4,578.5018921,548.2277222
1010.507,578.5018921,548.2789917
1010.601,578.5018921,548.3302612
1010.701,578.5018921,548.3815308
1010.798,578.5018921,548.4328003
1010.912,578.5018921,548.4840698
1011.001,578.5018921,548.5353394
1011.101,578.5018921,548.5866089
1011.202,578.5018921,548.6378784
1011.315,578.5018921,548.6891479
1011.401,578.5018921,548.7404175
1011.496,578.5018921,548.791687
1011.602,578.5018921,548.8429565
1011.701,578.5018921,548.8942261
1011.801,578.5018921,548.9454956
1011.902,578.5018921,548.9967651
1012,578.5018921,549.0480347
1012.1,578.5018921,549.0993042
1012.201,578.5018921,549.1505737
1012.302,578.5018921,549.2018433
1012.389,578.5018921,549.2531128
1012.5,578.5018921,549.3043823
1012.6,578.5018921,549.3556519
1012.696,578.5018921,549.4069214
1012.799,578.5018921,549.4074097
1012.899,578.5018921,549.4074097
1012.999,578.5018921,549.4074097
1013.1,578.5018921,549.4074097
1013.199,578.5018921,549.4074097
1013.3,578.5018921,549.4074097
1013.401,578.5018921,549.4074097
