time (seconds),encoderLeft (meters),encoderRight (meters)
1474.299,893.7180176,850.9630127
1474.401,893.7598267,851.0014648
1474.499,893.8016357,851.039917
1474.6,893.8434448,851.0783691
1474.7,893.8852539,851.1168213
1474.801,893.927124,851.1552734
1474.898,893.9689331,851.1937256
1475,894.0107422,851.2321777
1475.099,894.0525513,851.2706299
1475.201,894.0943604,851.3091431
1475.301,894.1361694,851.3475952
1475.402,894.1780396,851.3860474
1475.502,894.2198486,851.4244995
1475.599,894.2616577,851.4629517
1475.701,894.3034668,851.5014038
1475.801,894.3452759,851.539856
1475.903,894.387085,851.5783081
1476.001,894.4289551,851.6167603
1476.101,894.4707642,851.6552124
1476.201,894.5125732,851.6936646
1476.301,894.5543823,851.7321167
1476.4,894.5961914,851.7705688
1476.502,894.6380005,851.809021
1476.6,894.6798706,851.8474731
1476.693,894.7216797,851.8859253
1476.803,894.7634888,851.9243774
1476.901,894.8052979,851.9628296
1477.001,894.8471069,852.0012817
1477.101,894.888916,852.0397339
1477.2,894.9307861,852.078186
1477.301,894.9725952,852.1166382
1477.4,895.0144043,852.1550903
1477.5,895.0562134,852.1935425
1477.601,895.0980225,852.2319946
1477.699,895.1398315,852.2704468
1477.801,895.1817017,852.3088989
1477.9,895.2235107,852.3473511
1477.999,895.2653198,852.3858032
1478.101,895.3071289,852.4242554
1478.201,895.348938,852.4627075
1478.301,895.3907471,852.5011597
1478.399,895.4325562,852.5396118
1478.499,895.4744263,852.578064
1478.6,895.5162354,852.6165161
1478.702,895.5580444,852.6550293
1478.801,895.5998535,852.6934814
1478.901,895.6416626,852.7319336
1479,895.6834717,852.7703857
1479.1,895.7253418,852.8088379
1479.201,895.7671509,852.84729
1479.3,895.80896,852.8857422
1479.4,895.850769,852.9241943
1479.501,895.8925781,852.9626465
1479.6,895.9343872,853.0010986
1479.7,895.9762573,853.0395508
1479.801,895.9765625,853.0397949
1479.902,895.9765625,853.0397949
1479.996,895.9765625,853.0397949
1480.101,895.9765625,853.0397949
1480.201,895.9765625,853.0397949
1480.299,895.9765625,853.0397949
1480.399,895.9765625,853.0397949
1480.501,895.9765625,853.0397949
1480.6,895.9765625,853.0397949
